BAHIA
Alagoinhas 
Alcobaça
Amargosa
América Dourada
Andaraí
Apuarema
Barra do Mendes
Barrolândia 
Baixa Grande
Bravo
Belmonte
Bom Despacho
Buerarema
Cabrália 
Camacan
Camamu
Catu
Canavieiras
Caravelas 
Central
Coaraci 
Coração De Maria 
Cruz Das Almas 
Dario Meira 
Eunápolis 
Entre Rios  
Esplanada
Floresta Azul
Feira de Santana
Gandu
Guaratinga
Itambé
Itapetinga
Ibicaraí
Ibicuí
Itabuna
Ibirataia
Iguaí
Ilhéus 
Ipiaú
Itabela 
Itarantim
Itacaré
Itagimirim
Itagibá
Itajuípe 
Itamaraju
Iaçu
Itabatan
Ibititá
Ipirá
Iramaia 
Irecê 
Itaberaba
Irará
Itapitanga 
Itanhém 
Ituberá
Itororó
Inhambupe
Jaquaquara 
Jacobina 
Jequiriça
Jitaúna
Jequié
João Dourado
Lagoa Redonda 
Lauro De Freitas 
Mucugê
Mairi 
Macarani
Marcinílio Souza
Maiquinique
Maraú
Mutuípe
Manoel Vitorino 
Medeiros Neto
Morro do Chapéu 
Mundo Novo
Mucuri
Macajuba
Nova Canaã
Nazaré
Nova Viçosa
Olindina
Planalto
Poçoes
Pojuca
Porto Seguro
Posto da Mata
Prado
Potiraguá
Paulo Afonso
Ponto Do Astério
Piritiba
Ruy Barbosa
Serrolândia
Santo Ant. de Jesus
Salvador 
São João Do Paraiso 
Sta. Cruz Da Vitória 
Santa Inês 
Simoes Filho
Teixeira de Freitas 
Ubatã
Uruçuca
Una
Utinga
Ubaitaba
Ubaíra
Vitória Da Conquista
Valença
Xique-xique
Wagner
